Original_Index,Anomaly_Score,Detection_Result,True_Label
929,1.4142135623730951,1,0
930,1.4142135623730951,1,0
931,1.4142135623730951,1,0
932,1.4142135623730951,1,0
933,1.4142135623730951,1,0
934,1.4142135623730951,1,0
935,1.4142135623730951,1,0
936,1.4142135623730951,1,0
937,1.4142135623730951,1,0
938,1.4142135623730951,1,0
939,1.4142135623730951,1,0
940,1.4142135623730951,1,0
941,1.4142135623730951,1,0
942,1.4142135623730951,1,0
943,1.4142135623730951,1,0
944,1.4142135623730951,1,0
945,1.4142135623730951,1,0
946,1.4142135623730951,1,0
947,1.4142135623730951,1,0
948,1.4142135623730951,1,0
949,1.4142135623730951,1,0
950,1.4142135623730951,1,0
951,1.4142135623730951,1,0
952,1.4142135623730951,1,0
953,1.4142135623730951,1,0
954,1.4142135623730951,1,0
955,1.4142135623730951,1,0
956,1.4142135623730951,1,0
957,1.4142135623730951,1,0
958,1.4142135623730951,1,0
959,1.4142135623730951,1,0
960,1.4142135623730951,1,0
961,1.4142135623730951,1,0
962,1.4142135623730951,1,0
963,1.4142135623730951,1,0
964,1.4142135623730951,1,0
965,1.4142135623730951,1,0
966,1.4142135623730951,1,0
967,1.4142135623730951,1,0
968,1.4142135623730951,1,0
969,1.4142135623730951,1,0
970,1.4142135623730951,1,0
971,1.4142135623730951,1,0
972,1.4142135623730951,1,0
973,1.4142135623730951,1,0
974,1.4142135623730951,1,0
975,1.4142135623730951,1,0
976,1.4142135623730951,1,0
977,1.4142135623730951,1,0
978,1.4142135623730951,1,0
979,1.4142135623730951,1,0
980,1.4142135623730951,1,0
981,1.4142135623730951,1,0
982,1.4142135623730951,1,0
983,1.4142135623730951,1,0
984,1.4142135623730951,1,0
985,1.4142135623730951,1,0
986,1.4142135623730951,1,0
987,1.4142135623730951,1,0
988,1.4142135623730951,1,0
989,1.4142135623730951,1,0
990,1.4142135623730951,1,0
991,1.4142135623730951,1,0
992,1.4142135623730951,1,0
993,1.4142135623730951,1,0
994,1.4142135623730951,1,0
995,1.4142135623730951,1,0
996,1.4142135623730951,1,0
997,1.4142135623730951,1,0
998,1.4142135623730951,1,0
999,1.4142135623730951,1,0
1000,1.4142135623730951,1,0
1001,1.4142135623730951,1,0
1002,1.4142135623730951,1,0
1003,1.4142135623730951,1,0
1004,1.4142135623730951,1,0
1005,1.4142135623730951,1,0
1006,1.4142135623730951,1,0
1007,1.4142135623730951,1,0
1008,1.4142135623730951,1,0
1009,1.4142135623730951,1,0
1010,1.4142135623730951,1,0
1011,1.4142135623730951,1,0
1012,1.4142135623730951,1,0
1013,1.4142135623730951,1,0
1014,1.4142135623730951,1,0
1015,1.4142135623730951,1,0
1016,1.4142135623730951,1,0
1017,1.4142135623730951,1,0
1018,1.4142135623730951,1,0
1019,1.4142135623730951,1,0
1020,1.4142135623730951,1,0
1021,1.4142135623730951,1,0
1022,1.4142135623730951,1,0
1023,1.4142135623730951,1,0
1024,1.4142135623730951,1,0
1025,1.4142135623730951,1,0
1026,1.4142135623730951,1,0
1027,1.4142135623730951,1,0
1028,1.4142135623730951,1,0
1029,1.4142135623730951,1,0
1030,1.4142135623730951,1,0
1031,1.4142135623730951,1,0
1032,1.4142135623730951,1,0
1033,1.4142135623730951,1,0
1034,1.4142135623730951,1,0
1035,1.4142135623730951,1,0
1036,1.4142135623730951,1,0
1037,1.4142135623730951,1,0
1038,1.4142135623730951,1,0
1039,1.4142135623730951,1,0
1040,1.4142135623730951,1,0
1041,1.4142135623730951,1,0
1042,1.4142135623730951,1,0
1043,1.4142135623730951,1,0
1044,1.4142135623730951,1,0
1045,1.4142135623730951,1,0
1046,1.4142135623730951,1,0
1047,1.4142135623730951,1,0
1048,1.4142135623730951,1,0
1049,1.4142135623730951,1,0
1050,1.4142135623730951,1,0
1051,1.4142135623730951,1,0
1052,1.4142135623730951,1,0
1053,1.4142135623730951,1,0
1054,1.4142135623730951,1,0
1055,1.4142135623730951,1,0
1056,1.4142135623730951,1,0
1057,1.4142135623730951,1,0
1058,1.4142135623730951,1,0
1059,1.4142135623730951,1,0
1060,1.4142135623730951,1,0
1061,1.4142135623730951,1,0
1062,1.4142135623730951,1,0
1063,1.4142135623730951,1,0
1064,1.4142135623730951,1,0
1065,1.4142135623730951,1,0
1066,1.4142135623730951,1,0
1067,1.4142135623730951,1,0
1068,1.4142135623730951,1,0
1069,1.4142135623730951,1,0
1070,1.4142135623730951,1,0
1071,1.4142135623730951,1,0
1072,1.4142135623730951,1,0
1073,1.4142135623730951,1,0
1074,1.4142135623730951,1,0
1075,1.4142135623730951,1,0
1076,1.4142135623730951,1,0
1077,1.4142135623730951,1,0
1078,1.4142135623730951,1,0
1079,1.4142135623730951,1,0
1080,1.4142135623730951,1,0
1081,1.4142135623730951,1,0
1082,1.4142135623730951,1,0
1083,1.4142135623730951,1,0
1084,1.4142135623730951,1,0
1085,1.4142135623730951,1,0
1086,1.4142135623730951,1,0
1087,1.4142135623730951,1,0
1088,1.4142135623730951,1,0
1089,1.4142135623730951,1,0
1090,1.4142135623730951,1,0
1091,1.4142135623730951,1,0
1092,1.4142135623730951,1,0
1093,1.4142135623730951,1,0
1094,1.4142135623730951,1,0
1095,1.4142135623730951,1,0
1096,1.4142135623730951,1,0
1097,1.4142135623730951,1,1
1098,1.4142135623730951,1,0
1099,1.4142135623730951,1,0
1100,1.4142135623730951,1,0
1101,1.4142135623730951,1,0
1102,1.4142135623730951,1,0
1103,1.4142135623730951,1,0
1104,1.4142135623730951,1,0
1105,1.4142135623730951,1,0
1106,1.4142135623730951,1,1
1107,1.4142135623730951,1,0
1108,1.4142135623730951,1,0
1109,1.4142135623730951,1,0
1110,1.4142135623730951,1,0
1111,1.4142135623730951,1,0
1112,1.4142135623730951,1,0
1113,1.4142135623730951,1,0
1114,1.4142135623730951,1,0
1115,1.4142135623730951,1,0
1116,1.4142135623730951,1,0
1117,1.4142135623730951,1,0
1118,1.4142135623730951,1,0
1119,1.4142135623730951,1,0
1120,1.4142135623730951,1,0
1121,1.4142135623730951,1,0
1122,1.4142135623730951,1,0
1123,1.4142135623730951,1,0
1124,1.4142135623730951,1,1
1125,1.4142135623730951,1,0
1126,1.4142135623730951,1,0
1127,1.4142135623730951,1,0
1128,1.4142135623730951,1,0
1129,1.4142135623730951,1,0
1130,1.4142135623730951,1,1
1131,1.4142135623730951,1,0
1132,1.4142135623730951,1,0
1133,1.4142135623730951,1,1
1134,1.4142135623730951,1,0
1135,1.4142135623730951,1,0
1136,1.4142135623730951,1,0
1137,1.4142135623730951,1,0
1138,1.4142135623730951,1,0
1139,1.4142135623730951,1,0
1140,1.4142135623730951,1,0
1141,1.4142135623730951,1,0
1142,1.4142135623730951,1,0
1143,1.4142135623730951,1,0
1144,1.4142135623730951,1,0
1145,1.4142135623730951,1,0
1146,1.4142135623730951,1,0
1147,1.4142135623730951,1,0
1148,1.4142135623730951,1,1
1149,1.4142135623730951,1,0
1150,1.4142135623730951,1,0
1151,1.4142135623730951,1,1
1152,1.4142135623730951,1,0
1153,1.4142135623730951,1,0
1154,1.4142135623730951,1,0
1155,1.4142135623730951,1,0
1156,1.4142135623730951,1,0
1157,1.4142135623730951,1,1
1158,1.4142135623730951,1,0
1159,1.4142135623730951,1,0
1160,1.4142135623730951,1,1
1161,1.4142135623730951,1,0
1162,1.4142135623730951,1,0
1163,1.4142135623730951,1,0
1164,1.4142135623730951,1,0
1165,1.4142135623730951,1,0
1166,1.4142135623730951,1,0
1167,1.4142135623730951,1,0
1168,1.4142135623730951,1,0
1169,1.4142135623730951,1,0
1170,1.4142135623730951,1,0
1171,1.4142135623730951,1,0
1172,1.4142135623730951,1,0
1173,1.4142135623730951,1,0
1174,1.4142135623730951,1,0
1175,1.4142135623730951,1,1
1176,1.4142135623730951,1,0
1177,1.4142135623730951,1,0
1178,1.4142135623730951,1,1
1179,1.4142135623730951,1,0
1180,1.4142135623730951,1,0
1181,1.4142135623730951,1,0
1182,1.4142135623730951,1,0
1183,1.4142135623730951,1,0
1184,1.4142135623730951,1,1
1185,1.4142135623730951,1,0
1186,1.4142135623730951,1,0
1187,1.4142135623730951,1,1
1188,1.4142135623730951,1,0
1189,1.4142135623730951,1,0
1190,1.4142135623730951,1,0
1191,1.4142135623730951,1,0
1192,1.4142135623730951,1,0
1193,1.4142135623730951,1,0
1194,1.4142135623730951,1,0
1195,1.4142135623730951,1,0
1196,1.4142135623730951,1,0
1197,1.4142135623730951,1,0
1198,1.4142135623730951,1,0
1199,1.4142135623730951,1,1
1200,1.4142135623730951,1,0
1201,1.4142135623730951,1,0
1202,1.4142135623730951,1,1
1203,1.4142135623730951,1,0
1204,1.4142135623730951,1,1
1205,1.4142135623730951,1,1
1206,1.4142135623730951,1,0
1207,1.4142135623730951,1,0
1208,1.4142135623730951,1,0
1209,1.4142135623730951,1,0
1210,1.4142135623730951,1,0
1211,1.4142135623730951,1,1
1212,1.4142135623730951,1,0
1213,1.4142135623730951,1,1
1214,1.4142135623730951,1,1
1215,1.4142135623730951,1,0
1216,1.4142135623730951,1,0
1217,1.4142135623730951,1,0
1218,1.4142135623730951,1,0
1219,1.4142135623730951,1,0
1220,1.4142135623730951,1,0
1221,1.4142135623730951,1,0
1222,1.4142135623730951,1,0
1223,1.4142135623730951,1,0
1224,1.4142135623730951,1,0
1225,1.4142135623730951,1,0
1226,1.4142135623730951,1,1
1227,1.4142135623730951,1,0
1228,1.4142135623730951,1,0
1229,1.4142135623730951,1,1
1230,1.4142135623730951,1,0
1231,1.4142135623730951,1,1
1232,1.4142135623730951,1,1
1233,1.4142135623730951,1,0
1234,1.4142135623730951,1,0
1235,1.4142135623730951,1,1
1236,1.4142135623730951,1,0
1237,1.4142135623730951,1,1
1238,1.4142135623730951,1,1
1239,1.4142135623730951,1,0
1240,1.4142135623730951,1,1
1241,1.4142135623730951,1,1
1242,1.4142135623730951,1,0
1243,1.4142135623730951,1,0
1244,1.4142135623730951,1,0
1245,1.4142135623730951,1,0
1246,1.4142135623730951,1,0
1247,1.4142135623730951,1,0
1248,1.4142135623730951,1,0
1249,1.4142135623730951,1,0
1250,1.4142135623730951,1,0
1251,1.4142135623730951,1,0
1252,1.4142135623730951,1,0
1253,1.4142135623730951,1,1
1254,1.4142135623730951,1,0
1255,1.4142135623730951,1,1
1256,1.4142135623730951,1,1
1257,1.4142135623730951,1,0
1258,1.4142135623730951,1,1
1259,1.4142135623730951,1,1
1260,1.4142135623730951,1,0
1261,1.4142135623730951,1,0
1262,1.4142135623730951,1,1
1263,1.4142135623730951,1,0
1264,1.4142135623730951,1,1
1265,1.4142135623730951,1,1
1266,1.4142135623730951,1,0
1267,1.4142135623730951,1,1
1268,1.4142135623730951,1,1
1269,1.4142135623730951,1,0
1270,1.4142135623730951,1,0
1271,1.4142135623730951,1,0
1272,1.4142135623730951,1,0
1273,1.4142135623730951,1,0
1274,1.4142135623730951,1,0
1275,1.4142135623730951,1,0
1276,1.4142135623730951,1,0
1277,1.4142135623730951,1,0
1278,1.4142135623730951,1,0
1279,1.4142135623730951,1,0
1280,1.4142135623730951,1,1
1281,1.4142135623730951,1,0
1282,1.4142135623730951,1,1
1283,1.4142135623730951,1,1
1284,1.4142135623730951,1,0
1285,1.4142135623730951,1,1
1286,1.4142135623730951,1,1
1287,1.4142135623730951,1,0
1288,1.4142135623730951,1,0
1289,1.4142135623730951,1,1
1290,1.4142135623730951,1,0
1291,1.4142135623730951,1,1
1292,1.4142135623730951,1,1
1293,1.4142135623730951,1,0
1294,1.4142135623730951,1,1
1295,1.4142135623730951,1,1
1296,1.4142135623730951,1,0
1297,1.4142135623730951,1,0
1298,1.4142135623730951,1,0
1299,1.4142135623730951,1,0
1300,1.4142135623730951,1,0
1301,1.4142135623730951,1,0
1302,1.4142135623730951,1,0
1303,1.4142135623730951,1,0
1304,1.4142135623730951,1,0
1305,1.4142135623730951,1,0
1306,1.4142135623730951,1,0
1307,1.4142135623730951,1,0
1308,1.4142135623730951,1,0
1309,1.4142135623730951,1,0
1310,1.4142135623730951,1,0
1311,1.4142135623730951,1,0
1312,1.4142135623730951,1,0
1313,1.4142135623730951,1,0
1314,1.4142135623730951,1,0
1315,1.4142135623730951,1,0
1316,1.4142135623730951,1,0
1317,1.4142135623730951,1,0
1318,1.4142135623730951,1,0
1319,1.4142135623730951,1,0
1320,1.4142135623730951,1,0
1321,1.4142135623730951,1,0
1322,1.4142135623730951,1,0
1323,1.4142135623730951,1,0
1324,1.4142135623730951,1,0
1325,1.4142135623730951,1,0
1326,1.4142135623730951,1,0
1327,1.4142135623730951,1,0
1328,1.4142135623730951,1,0
1329,1.4142135623730951,1,0
1330,1.4142135623730951,1,0
1331,1.4142135623730951,1,0
1332,1.4142135623730951,1,0
1333,1.4142135623730951,1,0
1334,1.4142135623730951,1,0
1335,1.4142135623730951,1,0
1336,1.4142135623730951,1,0
1337,1.4142135623730951,1,0
1338,1.4142135623730951,1,0
1339,1.4142135623730951,1,0
1340,1.4142135623730951,1,0
1341,1.4142135623730951,1,0
1342,1.4142135623730951,1,0
1343,1.4142135623730951,1,0
1344,1.4142135623730951,1,0
1345,1.4142135623730951,1,0
1346,1.4142135623730951,1,0
1347,1.4142135623730951,1,0
1348,1.4142135623730951,1,0
1349,1.4142135623730951,1,0
1350,1.4142135623730951,1,0
1351,1.4142135623730951,1,0
1352,1.4142135623730951,1,0
1353,1.4142135623730951,1,0
1354,1.4142135623730951,1,0
1355,1.4142135623730951,1,0
1356,1.4142135623730951,1,0
1357,1.4142135623730951,1,0
1358,1.4142135623730951,1,0
1359,1.4142135623730951,1,0
1360,1.4142135623730951,1,0
1361,1.4142135623730951,1,0
1362,1.4142135623730951,1,0
1363,1.4142135623730951,1,0
1364,1.4142135623730951,1,0
1365,1.4142135623730951,1,0
1366,1.4142135623730951,1,0
1367,1.4142135623730951,1,0
1368,1.4142135623730951,1,0
1369,1.4142135623730951,1,0
1370,1.4142135623730951,1,0
1371,1.4142135623730951,1,0
1372,1.4142135623730951,1,0
1373,1.4142135623730951,1,0
1374,1.4142135623730951,1,0
1375,1.4142135623730951,1,0
1376,1.4142135623730951,1,0
1377,1.4142135623730951,1,0
1378,1.4142135623730951,1,0
1379,1.4142135623730951,1,0
1380,1.4142135623730951,1,0
1381,1.4142135623730951,1,0
1382,1.4142135623730951,1,0
1383,1.4142135623730951,1,0
1384,1.4142135623730951,1,0
1385,1.4142135623730951,1,0
1386,1.4142135623730951,1,0
1387,1.4142135623730951,1,0
1388,1.4142135623730951,1,0
1389,1.4142135623730951,1,0
1390,1.4142135623730951,1,0
1391,1.4142135623730951,1,0
1392,1.4142135623730951,1,0
1393,1.4142135623730951,1,0
1394,1.4142135623730951,1,0
1395,1.4142135623730951,1,0
1396,1.4142135623730951,1,0
1397,1.4142135623730951,1,0
1398,1.4142135623730951,1,0
1399,1.4142135623730951,1,0
1400,1.4142135623730951,1,0
1401,1.4142135623730951,1,0
1402,1.4142135623730951,1,0
1403,1.4142135623730951,1,0
1404,1.4142135623730951,1,0
1405,1.4142135623730951,1,0
1406,1.4142135623730951,1,0
1407,1.4142135623730951,1,0
1408,1.4142135623730951,1,0
1409,1.4142135623730951,1,0
1410,1.4142135623730951,1,0
1411,1.4142135623730951,1,0
1412,1.4142135623730951,1,0
1413,1.4142135623730951,1,0
1414,1.4142135623730951,1,0
1415,1.4142135623730951,1,0
1416,1.4142135623730951,1,0
1417,1.4142135623730951,1,0
1418,1.4142135623730951,1,0
1419,1.4142135623730951,1,0
1420,1.4142135623730951,1,0
1421,1.4142135623730951,1,1
1422,1.4142135623730951,1,0
1423,1.4142135623730951,1,0
1424,1.4142135623730951,1,0
1425,1.4142135623730951,1,0
1426,1.4142135623730951,1,0
1427,1.4142135623730951,1,0
1428,1.4142135623730951,1,0
1429,1.4142135623730951,1,0
1430,1.4142135623730951,1,1
1431,1.4142135623730951,1,0
1432,1.4142135623730951,1,0
1433,1.4142135623730951,1,0
1434,1.4142135623730951,1,0
1435,1.4142135623730951,1,0
1436,1.4142135623730951,1,0
1437,1.4142135623730951,1,0
1438,1.4142135623730951,1,0
1439,1.4142135623730951,1,0
1440,1.4142135623730951,1,0
1441,1.4142135623730951,1,0
1442,1.4142135623730951,1,0
1443,1.4142135623730951,1,0
1444,1.4142135623730951,1,0
1445,1.4142135623730951,1,0
1446,1.4142135623730951,1,0
1447,1.4142135623730951,1,0
1448,1.4142135623730951,1,1
1449,1.4142135623730951,1,0
1450,1.4142135623730951,1,0
1451,1.4142135623730951,1,0
1452,1.4142135623730951,1,0
1453,1.4142135623730951,1,0
1454,1.4142135623730951,1,1
1455,1.4142135623730951,1,0
1456,1.4142135623730951,1,0
1457,1.4142135623730951,1,1
1458,1.4142135623730951,1,0
1459,1.4142135623730951,1,0
1460,1.4142135623730951,1,0
1461,1.4142135623730951,1,0
1462,1.4142135623730951,1,0
1463,1.4142135623730951,1,0
1464,1.4142135623730951,1,0
1465,1.4142135623730951,1,0
1466,1.4142135623730951,1,0
1467,1.4142135623730951,1,0
1468,1.4142135623730951,1,0
1469,1.4142135623730951,1,0
1470,1.4142135623730951,1,0
1471,1.4142135623730951,1,0
1472,1.4142135623730951,1,1
1473,1.4142135623730951,1,0
1474,1.4142135623730951,1,0
1475,1.4142135623730951,1,1
1476,1.4142135623730951,1,0
1477,1.4142135623730951,1,0
1478,1.4142135623730951,1,0
1479,1.4142135623730951,1,0
1480,1.4142135623730951,1,0
1481,1.4142135623730951,1,1
1482,1.4142135623730951,1,0
1483,1.4142135623730951,1,0
1484,1.4142135623730951,1,1
1485,1.4142135623730951,1,0
1486,1.4142135623730951,1,0
1487,1.4142135623730951,1,0
1488,1.4142135623730951,1,0
1489,1.4142135623730951,1,0
1490,1.4142135623730951,1,0
1491,1.4142135623730951,1,0
1492,1.4142135623730951,1,0
1493,1.4142135623730951,1,0
1494,1.4142135623730951,1,0
1495,1.4142135623730951,1,0
1496,1.4142135623730951,1,0
1497,1.4142135623730951,1,0
1498,1.4142135623730951,1,0
1499,1.4142135623730951,1,1
1500,1.4142135623730951,1,0
1501,1.4142135623730951,1,0
1502,1.4142135623730951,1,1
1503,1.4142135623730951,1,0
1504,1.4142135623730951,1,0
1505,1.4142135623730951,1,0
1506,1.4142135623730951,1,0
1507,1.4142135623730951,1,0
1508,1.4142135623730951,1,1
1509,1.4142135623730951,1,0
1510,1.4142135623730951,1,0
1511,1.4142135623730951,1,1
1512,1.4142135623730951,1,0
1513,1.4142135623730951,1,0
1514,1.4142135623730951,1,0
1515,1.4142135623730951,1,0
1516,1.4142135623730951,1,0
1517,1.4142135623730951,1,0
1518,1.4142135623730951,1,0
1519,1.4142135623730951,1,0
1520,1.4142135623730951,1,0
1521,1.4142135623730951,1,0
1522,1.4142135623730951,1,0
1523,1.4142135623730951,1,1
1524,1.4142135623730951,1,0
1525,1.4142135623730951,1,0
1526,1.4142135623730951,1,1
1527,1.4142135623730951,1,0
1528,1.4142135623730951,1,1
1529,1.4142135623730951,1,1
1530,1.4142135623730951,1,0
1531,1.4142135623730951,1,0
1532,1.4142135623730951,1,0
1533,1.4142135623730951,1,0
1534,1.4142135623730951,1,0
1535,1.4142135623730951,1,1
1536,1.4142135623730951,1,0
1537,1.4142135623730951,1,1
1538,1.4142135623730951,1,1
1539,1.4142135623730951,1,0
1540,1.4142135623730951,1,0
1541,1.4142135623730951,1,0
1542,1.4142135623730951,1,0
1543,1.4142135623730951,1,0
1544,1.4142135623730951,1,0
1545,1.4142135623730951,1,0
1546,1.4142135623730951,1,0
1547,1.4142135623730951,1,0
1548,1.4142135623730951,1,0
1549,1.4142135623730951,1,0
1550,1.4142135623730951,1,1
1551,1.4142135623730951,1,0
1552,1.4142135623730951,1,0
1553,1.4142135623730951,1,1
1554,1.4142135623730951,1,0
1555,1.4142135623730951,1,1
1556,1.4142135623730951,1,1
1557,1.4142135623730951,1,0
1558,1.4142135623730951,1,0
1559,1.4142135623730951,1,1
1560,1.4142135623730951,1,0
1561,1.4142135623730951,1,1
1562,1.4142135623730951,1,1
1563,1.4142135623730951,1,0
1564,1.4142135623730951,1,1
1565,1.4142135623730951,1,1
1566,1.4142135623730951,1,0
1567,1.4142135623730951,1,0
1568,1.4142135623730951,1,0
1569,1.4142135623730951,1,0
1570,1.4142135623730951,1,0
1571,1.4142135623730951,1,0
1572,1.4142135623730951,1,0
1573,1.4142135623730951,1,0
1574,1.4142135623730951,1,0
1575,1.4142135623730951,1,0
1576,1.4142135623730951,1,0
1577,1.4142135623730951,1,1
1578,1.4142135623730951,1,0
1579,1.4142135623730951,1,1
1580,1.4142135623730951,1,1
1581,1.4142135623730951,1,0
1582,1.4142135623730951,1,1
1583,1.4142135623730951,1,1
1584,1.4142135623730951,1,0
1585,1.4142135623730951,1,0
1586,1.4142135623730951,1,1
1587,1.4142135623730951,1,0
1588,1.4142135623730951,1,1
1589,1.4142135623730951,1,1
1590,1.4142135623730951,1,0
1591,1.4142135623730951,1,1
1592,1.4142135623730951,1,1
1593,1.4142135623730951,1,0
1594,1.4142135623730951,1,0
1595,1.4142135623730951,1,0
1596,1.4142135623730951,1,0
1597,1.4142135623730951,1,0
1598,1.4142135623730951,1,0
1599,1.4142135623730951,1,0
1600,1.4142135623730951,1,0
1601,1.4142135623730951,1,0
1602,1.4142135623730951,1,0
1603,1.4142135623730951,1,0
1604,1.4142135623730951,1,1
1605,1.4142135623730951,1,0
1606,1.4142135623730951,1,1
1607,1.4142135623730951,1,1
1608,1.4142135623730951,1,0
1609,1.4142135623730951,1,1
1610,1.4142135623730951,1,1
1611,1.4142135623730951,1,0
1612,1.4142135623730951,1,0
1613,1.4142135623730951,1,1
1614,1.4142135623730951,1,0
1615,1.4142135623730951,1,1
1616,1.4142135623730951,1,1
1617,1.4142135623730951,1,0
1618,1.4142135623730951,1,1
1619,1.4142135623730951,1,1
1620,1.4142135623730951,1,0
1621,1.4142135623730951,1,0
1622,1.4142135623730951,1,0
1623,1.4142135623730951,1,0
1624,1.4142135623730951,1,0
1625,1.4142135623730951,1,0
1626,1.4142135623730951,1,0
1627,1.4142135623730951,1,0
1628,1.4142135623730951,1,0
1629,1.4142135623730951,1,0
1630,1.4142135623730951,1,0
1631,1.4142135623730951,1,1
1632,1.4142135623730951,1,0
1633,1.4142135623730951,1,0
1634,1.4142135623730951,1,1
1635,1.4142135623730951,1,0
1636,1.4142135623730951,1,1
1637,1.4142135623730951,1,1
1638,1.4142135623730951,1,0
1639,1.4142135623730951,1,0
1640,1.4142135623730951,1,0
1641,1.4142135623730951,1,0
1642,1.4142135623730951,1,0
1643,1.4142135623730951,1,1
1644,1.4142135623730951,1,0
1645,1.4142135623730951,1,1
1646,1.4142135623730951,1,1
1647,1.4142135623730951,1,0
1648,1.4142135623730951,1,0
1649,1.4142135623730951,1,0
1650,1.4142135623730951,1,0
1651,1.4142135623730951,1,0
1652,1.4142135623730951,1,0
1653,1.4142135623730951,1,0
1654,1.4142135623730951,1,0
1655,1.4142135623730951,1,0
1656,1.4142135623730951,1,0
1657,1.4142135623730951,1,0
1658,1.4142135623730951,1,1
1659,1.4142135623730951,1,0
1660,1.4142135623730951,1,0
1661,1.4142135623730951,1,1
1662,1.4142135623730951,1,0
1663,1.4142135623730951,1,1
1664,1.4142135623730951,1,1
1665,1.4142135623730951,1,0
1666,1.4142135623730951,1,0
1667,1.4142135623730951,1,1
1668,1.4142135623730951,1,0
1669,1.4142135623730951,1,1
1670,1.4142135623730951,1,1
1671,1.4142135623730951,1,0
1672,1.4142135623730951,1,1
1673,1.4142135623730951,1,1
1674,1.4142135623730951,1,0
1675,1.4142135623730951,1,0
1676,1.4142135623730951,1,0
1677,1.4142135623730951,1,0
1678,1.4142135623730951,1,0
1679,1.4142135623730951,1,0
1680,1.4142135623730951,1,0
1681,1.4142135623730951,1,0
1682,1.4142135623730951,1,0
1683,1.4142135623730951,1,0
1684,1.4142135623730951,1,0
1685,1.4142135623730951,1,1
1686,1.4142135623730951,1,0
1687,1.4142135623730951,1,1
1688,1.4142135623730951,1,1
1689,1.4142135623730951,1,0
1690,1.4142135623730951,1,1
1691,1.4142135623730951,1,1
1692,1.4142135623730951,1,0
1693,1.4142135623730951,1,0
1694,1.4142135623730951,1,1
1695,1.4142135623730951,1,0
1696,1.4142135623730951,1,1
1697,1.4142135623730951,1,1
1698,1.4142135623730951,1,0
1699,1.4142135623730951,1,1
1700,1.4142135623730951,1,1
1701,1.4142135623730951,1,0
1702,1.4142135623730951,1,0
1703,1.4142135623730951,1,0
1704,1.4142135623730951,1,0
1705,1.4142135623730951,1,0
1706,1.4142135623730951,1,0
1707,1.4142135623730951,1,0
1708,1.4142135623730951,1,0
1709,1.4142135623730951,1,0
1710,1.4142135623730951,1,0
1711,1.4142135623730951,1,0
1712,1.4142135623730951,1,1
1713,1.4142135623730951,1,0
1714,1.4142135623730951,1,1
1715,1.4142135623730951,1,1
1716,1.4142135623730951,1,0
1717,1.4142135623730951,1,1
1718,1.4142135623730951,1,1
1719,1.4142135623730951,1,0
1720,1.4142135623730951,1,0
1721,1.4142135623730951,1,1
1722,1.4142135623730951,1,0
1723,1.4142135623730951,1,1
1724,1.4142135623730951,1,1
1725,1.4142135623730951,1,0
1726,1.4142135623730951,1,1
1727,1.4142135623730951,1,1
